Rk 	Player 	Pos 	Age 	Tm 	G 	MP 	PER 	TS% 	3PAr 	FTr 	ORB% 	DRB% 	TRB% 	AST% 	STL% 	BLK% 	TOV% 	USG% 	  	OWS 	DWS 	WS 	WS/48 	  	OBPM 	DBPM 	BPM 	VORP
88	Willy Hernangómez	C	27	NOP	1	2	12.7	.250	.250	.000	100.0	0.0	59.0	0.0	0.0	0.0	0.0	86.1		0.0	0.0	0.0	-0.399		-13.3	-34.4	-47.7	0.0
89	Tyler Herro	SG	22	MIA	5	142	9.2	.468	.438	.156	0.0	15.9	8.1	17.3	1.8	2.3	14.9	25.1		-0.3	0.3	0.0	.004		-3.4	0.3	-3.1	0.0
90	Haywood Highsmith	SF	25	MIA	2	8	8.2	1.500	1.000	.000	0.0	14.9	7.6	17.8	0.0	0.0	66.7	16.6		0.0	0.0	0.0	-0.052		1.0	3.2	4.3	0.0
91	Aaron Holiday	PG	25	PHO	2	8	73.0	1.126	.500	.250	15.8	0.0	7.4	100.0	0.0	0.0	0.0	26.0		0.2	0.0	0.2	1.078		41.1	7.9	49.0	0.1
92	Jrue Holiday	PG	31	MIL	5	180	10.4	.480	.358	.123	2.4	10.8	7.0	28.5	1.1	1.0	19.0	25.4		-0.3	0.5	0.2	.058		-1.6	-0.7	-2.4	0.0
93	Al Horford	C	35	BOS	4	128	18.7	.727	.441	.118	10.3	20.3	15.3	8.9	1.2	2.2	7.7	13.4		0.4	0.1	0.5	.193		3.4	1.6	4.9	0.2
94	Danuel House Jr.	SF	28	UTA	6	112	5.1	.509	.455	.364	2.1	15.5	8.8	5.5	0.0	1.1	19.0	13.2		-0.1	0.0	-0.1	-0.023		-2.7	-0.7	-3.4	0.0
95	Kevin Huerter	SG	23	ATL	5	154	7.5	.472	.660	.085	0.8	11.2	5.9	20.3	2.0	2.0	18.4	17.9		-0.2	0.1	0.0	-0.015		-1.9	1.1	-0.8	0.0
96	De'Andre Hunter	SF	24	ATL	5	175	16.5	.673	.371	.286	1.4	12.0	6.6	3.5	1.2	0.6	12.2	23.6		0.3	0.1	0.4	.108		2.1	0.8	2.9	0.2
97	Bones Hyland	PG	21	DEN	5	87	13.3	.546	.639	.389	1.4	13.2	7.1	27.4	0.6	0.0	12.5	24.1		0.1	0.0	0.1	.057		0.9	-2.1	-1.2	0.0
